soc,physical_level,MET,E_human_J_per_h
25-2023,4.14,3.7904999999999998,1110161.64
25-2031,4.19,3.83175,1122242.9400000002
25-2032,4.08,3.7409999999999997,1095664.08
25-2051,4.03,3.69975,1083582.78
25-2056,3.63,3.36975,986932.38
25-2057,3.84,3.5429999999999997,1037673.84
25-2058,4.49,4.07925,1194730.74
25-2059,3.24,3.048,892698.2400000001
25-3011,3.65,3.38625,991764.9
25-3021,2.83,2.70975,793631.5800000001
25-3031,3.25,3.05625,895114.5
25-3041,3.45,3.22125,943439.7
25-4011,4.52,4.103999999999999,1201979.5199999998
25-4012,3.99,3.66675,1073917.74
25-4013,3.31,3.10575,909612.06
25-4022,4.74,4.2855,1255137.24
25-4031,4.29,3.91425,1146405.54
25-9021,4.19,3.83175,1122242.9400000002
25-9031,4.45,4.046250000000001,1185065.7000000002
25-9042,3.12,2.949,863703.1199999999
25-9043,3.11,2.94075,861286.86
25-9044,4.22,3.8564999999999996,1129491.72
27-1011,4.57,4.14525,1214060.82
27-1012,3.09,2.92425,856454.34
27-1013,3.46,3.2295,945855.96
27-1014,4.84,4.368,1279299.84
27-1021,4.38,3.9884999999999997,1168151.88
27-1022,3.93,3.61725,1059420.18
27-1023,3.01,2.8582499999999995,837124.2599999998
27-1024,4.75,4.293749999999999,1257553.4999999998
27-1025,4.42,4.0215,1177816.92
27-1026,3.2,3.015,883033.2000000001
27-1027,3.9,3.5925,1052171.4
27-2011,1.97,2.00025,585833.22
27-2012,4.1175,3.7719374999999995,1104725.055
27-2021,2.37,2.33025,682483.62
27-2022,3.64,3.378,989348.64
27-2023,2.38,2.3385,684899.88
27-2031,1.19,1.35675,397364.94
27-2032,2.38,2.3385,684899.88
27-2041,3.61,3.3532499999999996,982099.8599999999
27-2042,1.82,1.8765,549589.3200000001
27-3011,3.76,3.477,1018343.7599999999
27-3023,3.81,3.5182499999999997,1030425.0599999999
27-3031,4.24,3.8729999999999998,1134324.2399999998
27-3041,4.57,4.14525,1214060.82
27-3042,4.61,4.17825,1223725.86
27-3043,3.63,3.36975,986932.38
27-3091,3.26,3.0645,897530.7599999999
27-3092,4.64,4.202999999999999,1230974.64
27-4011,4.54,4.1205,1206812.04
27-4012,4.58,4.153499999999999,1216477.0799999998
27-4014,4.92,4.434,1298629.92
27-4021,4.68,4.236,1240639.68
27-4031,4.29,3.91425,1146405.54
27-4032,4.87,4.3927499999999995,1286548.6199999999
29-1011,3.86,3.5595,1042506.36
29-1021,3.3,3.0974999999999997,907195.7999999999
29-1022,3.68,3.411,999013.68
29-1023,3.61,3.3532499999999996,982099.8599999999
29-1024,3.94,3.6254999999999997,1061836.44
29-1031,4.17,3.81525,1117410.42
29-1041,4.24,3.8729999999999998,1134324.2399999998
29-1051,4.16,3.807,1114994.1600000001
29-1071,3.585,3.3326249999999997,976059.2099999998
29-1081,4.45,4.046250000000001,1185065.7000000002
29-1122,3.62,3.3615,984516.12
29-1123,3.86,3.5595,1042506.36
29-1124,4.38,3.9884999999999997,1168151.88
29-1125,3.64,3.378,989348.64
29-1126,3.79,3.50175,1025592.54
29-1127,4.31,3.9307499999999993,1151238.0599999998
29-1128,4.0,3.675,1076334.0
29-1129,3.27,3.0727499999999996,899947.0199999999
29-1131,3.24,3.048,892698.2400000001
29-1141,4.186,3.8284499999999997,1121276.436
29-1151,4.15,3.79875,1112577.9000000001
29-1161,4.0,3.675,1076334.0
29-1171,4.2,3.84,1124659.2
29-1181,4.77,4.31025,1262386.0199999998
29-1211,3.33,3.1222499999999997,914444.58
29-1213,4.12,3.774,1105329.12
29-1214,4.34,3.9555,1158486.8399999999
29-1215,4.55,4.12875,1209228.3
29-1216,4.1,3.7574999999999994,1100496.5999999999
29-1217,3.97,3.6502499999999998,1069085.22
29-1218,4.18,3.8234999999999997,1119826.68
29-1221,4.02,3.6914999999999996,1081166.5199999998
29-1222,4.28,3.906,1143989.28
29-1223,3.46,3.2295,945855.96
29-1224,4.47,4.062749999999999,1189898.22
29-1229,4.194999999999999,3.8358749999999993,1123451.0699999998
29-1241,3.05,2.89125,846789.2999999999
29-1291,3.03,2.8747499999999997,841956.7799999999
29-1292,3.82,3.5264999999999995,1032841.3199999998
29-1299,3.92,3.609,1057003.92
29-2011,4.125,3.7781249999999997,1106537.25
29-2012,3.885,3.580125,1048547.0099999999
29-2031,4.3,3.9225,1148821.8
29-2032,3.98,3.6584999999999996,1071501.48
29-2033,4.55,4.12875,1209228.3
29-2034,4.29,3.91425,1146405.54
29-2035,4.52,4.103999999999999,1201979.5199999998
29-2036,4.8,4.334999999999999,1269634.7999999998
29-2051,3.0,2.8499999999999996,834707.9999999999
29-2052,4.17,3.81525,1117410.42
29-2053,3.13,2.9572499999999997,866119.38
29-2055,2.85,2.72625,798464.0999999999
29-2056,3.28,3.0809999999999995,902363.2799999998
29-2057,4.09,3.7492499999999995,1098080.3399999999
29-2061,3.77,3.4852499999999997,1020760.0199999999
29-2081,4.3,3.9225,1148821.8
29-2091,4.14,3.7904999999999998,1110161.64
29-2092,4.3,3.9225,1148821.8
29-2099,4.326666666666667,3.9445,1155265.1600000001
29-9091,3.2,3.015,883033.2000000001
29-9092,4.26,3.8894999999999995,1139156.76
29-9093,3.53,3.28725,962769.7799999999
29-9099,3.5,3.2624999999999997,955520.9999999999
31-1121,1.91,1.9507499999999998,571335.6599999999
31-1122,3.47,3.23775,948272.2200000001
31-1131,3.08,2.916,854038.0800000001
31-1132,2.45,2.39625,701813.7000000001
31-1133,2.96,2.8169999999999997,825042.9599999998
31-2011,3.97,3.6502499999999998,1069085.22
31-2012,3.9,3.5925,1052171.4
31-2021,4.14,3.7904999999999998,1110161.64
31-2022,4.01,3.6832499999999997,1078750.26
31-9011,2.27,2.24775,658321.02
31-9091,4.45,4.046250000000001,1185065.7000000002
31-9092,4.68,4.236,1240639.68
31-9093,3.52,3.279,960353.52
31-9094,4.84,4.368,1279299.84
31-9095,4.51,4.09575,1199563.26
31-9096,3.94,3.6254999999999997,1061836.44
31-9097,4.41,4.013249999999999,1175400.66
31-9099,3.63,3.36975,986932.38
33-1011,4.08,3.7409999999999997,1095664.08
33-1012,4.08,3.7409999999999997,1095664.08
33-1021,3.4,3.1799999999999997,931358.3999999999
33-1091,3.9,3.5925,1052171.4
33-2011,3.08,2.916,854038.0800000001
33-2021,3.94,3.6254999999999997,1061836.44
33-2022,3.44,3.2129999999999996,941023.4399999998
33-3011,3.57,3.3202499999999997,972434.82
33-3012,3.81,3.5182499999999997,1030425.0599999999
33-3021,4.173333333333333,3.8179999999999996,1118215.8399999999
33-3031,3.75,3.46875,1015927.5
33-3041,3.5,3.2624999999999997,955520.9999999999
33-3051,4.4,4.005,1172984.4
33-3052,3.67,3.4027499999999997,996597.4199999998
33-9011,3.73,3.45225,1011094.98
33-9021,4.34,3.9555,1158486.8399999999
