OCC_CODE,title_2024,H_info_rti,H_info_eloundou,job_zone,wage_median,z_H_info_rti,z_job_zone,z_log_wage,IRI_v2,IRI_v2_pct,IRI_v1,delta_emp_ann
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.7237169363897318,0.7209302325581396,5.0,75890.0,1.1921127730327468,1.7578538190812054,0.5300198570808985,3.479986449194851,86.81948424068769,1.3587429642749291,-0.0440091158288096
17-2081,Environmental Engineers,0.7908683768920604,0.8703703703703705,4.0,104170.0,1.3008663654925765,0.8471236332085413,1.3248655851294842,3.4728555838306017,86.67621776504298,2.20398018933737,-0.0651504953006091
13-2052,Personal Financial Advisors,0.8091460580621868,0.9473684210526316,4.0,102140.0,1.3304675694908392,0.8471236332085413,1.2754799410458102,3.4530711437451904,86.53295128939828,2.6498061874143977,0.0517308703949628
19-3022,Survey Researchers,0.9846291575909416,0.75,5.0,63380.0,1.6146672433470712,1.7578538190812054,0.07797364088912011,3.4504947033173967,86.38968481375359,1.0936584587311042,-0.0491027085086469
17-2041,Chemical Engineers,0.533917247265883,0.9230769230769232,4.0,121860.0,0.8847269912003871,0.8471236332085413,1.718471646251791,3.4503222706607195,86.24641833810888,2.9365675400789306,-0.0756073530887171
17-2161,Nuclear Engineers,0.4422274807104315,0.75,4.0,127520.0,0.7362329093144934,0.8471236332085413,1.8324022360751382,3.415758778598173,86.10315186246417,1.9373568680444584,-0.0144160025738874
11-9111,Medical and Health Services Managers,0.5598394663179507,1.0,4.0,117960.0,0.9267087331459714,0.8471236332085413,1.636845659535276,3.410678025889789,85.95988538681948,3.3496710030770007,0.0745808648382939
19-2099,"Physical Scientists, All Other",0.5538459548074914,1.0,4.0,117960.0,0.917002077513034,0.8471236332085413,1.636845659535276,3.400971370256851,85.81661891117479,3.3496710030770007,0.0516939203692299
19-3091,Anthropologists and Archeologists,0.9121328894385352,0.9482758620689656,5.0,64910.0,1.4972575564881283,1.7578538190812054,0.13783273832284224,3.392944113892176,85.67335243553008,2.4287253618946654,0.0372915793299892
25-1113,"Social Work Teachers, Postsecondary",0.5896263401772521,0.8409090909090909,5.0,76210.0,0.9749493891336042,1.7578538190812054,0.5405790895693366,3.273382297784146,85.53008595988538,2.1409441661649224,-0.0042888301007801
